연령대,시점,사망자수,부상자수
65-70세,2011,568,13638
65-70세,2012,565,14306
65-70세,2013,551,14689
65-70세,2014,483,15686
65-70세,2015,475,17115
65-70세,2016,408,16721
65-70세,2017,450,18010
65-70세,2018,444,18863
65-70세,2019,368,20034
65-70세,2020,349,17867
65-70세,2021,319,17997
71세이상,2011,1156,14361
71세이상,2012,1299,15393
71세이상,2013,1282,17489
71세이상,2014,1332,19666
71세이상,2015,1339,21467
71세이상,2016,1324,21692
71세이상,2017,1317,22569
71세이상,2018,1238,22970
71세이상,2019,1155,24356
71세이상,2020,993,20280
71세이상,2021,976,19897
